categorical_accuracy,loss,perplexity,val_categorical_accuracy,val_loss,val_perplexity,trial_number,subtrial_number,model_name
0.039603959769010544,11.727829933166504,123974.34375,0.03846153989434242,11.74393367767334,125986.9609375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.039603959769010544,11.44824504852295,93736.6953125,0.03846153989434242,11.700139999389648,120588.59375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.09900990128517151,10.57532024383545,39156.44140625,0.03846153989434242,11.566923141479492,105548.21875,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.10891088843345642,9.512350082397461,13525.7431640625,0.03846153989434242,11.295945167541504,80494.5859375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.07920791953802109,8.376243591308594,4342.66552734375,0.03846153989434242,11.000885963439941,59927.2109375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.07920791953802109,7.456350803375244,1730.8204345703125,0.03846153989434242,10.757123947143555,46963.40625,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.09900990128517151,6.03399658203125,417.3797912597656,0.03846153989434242,9.996404647827148,21947.416015625,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.0891089141368866,5.4889302253723145,241.99818420410156,0.03846153989434242,9.248887062072754,10392.9921875,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.10891088843345642,5.490121364593506,242.28660583496094,0.03846153989434242,8.954533576965332,7742.91552734375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.09900990128517151,4.8834452629089355,132.08494567871094,0.03846153989434242,8.936178207397461,7602.087890625,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.09900990128517151,3.7879889011383057,44.167484283447266,0.03846153989434242,9.153722763061523,9449.5537109375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.13861386477947235,4.454257488250732,85.99227905273438,0.03846153989434242,9.306883811950684,11013.57421875,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.10891088843345642,4.10886812210083,60.87777328491211,0.07692307978868484,9.554025650024414,14101.34765625,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.11881188303232193,3.7505617141723633,42.54497528076172,0.07692307978868484,9.701752662658691,16346.2314453125,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.12871287763118744,3.685176134109497,39.852142333984375,0.07692307978868484,9.952716827392578,21009.22265625,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
0.10891088843345642,3.2242043018341064,25.133567810058594,0.07692307978868484,10.144598960876465,25453.255859375,0,0,2025_11_01 21_49_cerebros_troy_stage_1/models/tr_0000000000000000_subtrial_0000000000000000.keras
